Species	Height (')	Class	"Pole Top Circumference ("")"	Taper (in. dia. /ft)	Poisson's Ratio	Modulus of Elasticity (lb/iný)	Density (lb/ft?)	"Wall Thickness ("")"	Shape	Material	Maximum Allowable Stress (lb/iný)	Maximum Allowable Groundline Moment (lbf)
Douglas Fir	30	5	19	0.113	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	35	4	21.00000074	0.115250103	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	35	5	19	0.115	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	40	2	24.99999946	0.1263877	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	40	3	23	0.122	0.3	1920000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	40	4	21.00000074	0.117025703	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	45	2	24.99999946	0.126507804	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	45	3	23	0.118	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	45	4	21.00000074	0.114265099	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	50	2	24.99999946	0.122983404	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	50	3	23	0.116	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	55	1	27.00000032	0.126674294	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	55	2	24.99999946	0.1201782	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	55	3	23	0.114	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	60	1	27.00000032	0.123787202	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	60	2	24.99999946	0.117892496	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	60	3	23	0.112	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	60	H1	28.99999967	0.129681796	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	60	H2	30.99999903	0.135576397	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	65	1	27.00000032	0.121389396	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	65	2	24.99999946	0.115994297	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	65	3	23	0.111	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	65	H1	28.99999967	0.126784399	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	65	H2	30.99999903	0.132179499	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	70	1	27.00000032	0.119366199	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	70	2	24.99999946	0.114392601	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	70	3	23	0.109	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	70	H1	28.99999967	0.124339797	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	70	H2	30.99999903	0.129313394	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	75	1	27.00000032	0.117636301	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	75	2	24.99999946	0.110716499	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	75	3	23	0.106	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	75	H1	28.99999967	0.122249402	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	75	H2	30.99999903	0.129169196	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	80	1	27.00000032	0.116140097	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	80	2	24.99999946	0.11	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	80	3	22.9999986	0.103	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	80	H1	28.99999967	0.120441601	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	80	H2	30.99999903	0.124743097	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	85	1	27.00000032	0.112818703	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	85	2	24.99999946	0.107	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	85	3	22.9999986	0.101	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	85	H1	28.99999967	0.118862599	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	85	H2	30.99999903	0.122891799	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	90	1	27.00000032	0.109892704	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	90	2	24.99999946	0.106	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	90	H1	28.99999967	0.115576804	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	90	H2	30.99999903	0.121260896	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	95	1	27.00000032	0.107295498	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	95	2	24.99999946	0.104	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	95	H1	28.99999967	0.114448503	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	95	H2	30.99999903	0.119813301	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	100	1	27.00000032	0.106667697	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	100	H1	28.99999967	0.111747101	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	100	H2	30.99999903	0.116826497	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	105	1	27.00000032	0.104495697	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	105	H1	28.99999967	0.109318502	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	105	H2	30.99999903	0.115749098	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	110	1	27.00000032	0.102532499	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	110	H1	28.99999967	0.108653903	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
Douglas Fir	110	H2	30.99999903	0.113244899	0.3	2500000	40	SOLID	ROUND	WOOD	8000	
PNM Ductile Iron	40	16Kip (12' Bury)	59.69021	0.172	0.3	24000000	432	0.1875	ROUND	METAL		416000
PNM Ductile Iron	40	H1 (6' Bury)	27.33183	0.17	0.3	24000000	432	0.1875	ROUND	METAL		112300
PNM Ductile Iron	45	H1 (6.5' Bury)	27.33183	0.173	0.3	24000000	432	0.1875	ROUND	METAL		128100
PNM Ductile Iron	45	H7 (12' Bury)	43.98226	0.176	0.3	24000000	432	0.1875	ROUND	METAL		260100
PNM Ductile Iron	45	H9 (12' Bury)	51.83624	0.178	0.3	24000000	432	0.1875	ROUND	METAL		326400
PNM Ductile Iron	50	16Kip (14' Bury)	59.69021	0.162	0.3	24000000	432	0.1875	ROUND	METAL		544000
PNM Ductile Iron	50	H8 (14' Bury)	43.98226	0.166	0.3	24000000	432	0.1875	ROUND	METAL		320600
PNM Ductile Iron	55	H8 (14' Bury)	43.98226	0.169	0.3	24000000	432	0.1875	ROUND	METAL		367800
PNM Ductile Iron	55	H9 (14' Bury)	51.83624	0.171	0.3	24000000	432	0.1875	ROUND	METAL		410700
PNM Steel Maintenance	20	2850inKip (Baseplate)	54.19243	0.256	0.3	29000000	490	0.1875	ROUND	METAL		237500
PNM Steel Maintenance	35	1300inKip (Baseplate)	17.27874	0.192	0.3	29000000	490	0.1875	ROUND	METAL		108333
PNM Steel Maintenance	35	2000inKip (Baseplate)	29.8451	0.25	0.3	29000000	490	0.1875	ROUND	METAL		166666
PNM Steel Maintenance	35	700inKip (Baseplate)	14.92255	0.14	0.3	29000000	490	0.125	ROUND	METAL		58333
PNM Steel Maintenance	40	700inKip (Baseplate)	18.0641	0.104	0.3	29000000	490	0.125	ROUND	METAL		58333
PNM Steel Maintenance	40	T2 (6' Bury)	21.67697	0.14	0.3	29000000	490	0.21875	ROUND	METAL		100000
