Size	Stranding	"Diameter ("")"	Cross-Sectional Area (iný)	Weight per Length (lbf/ft)	Maximum Rated Strength (lbf)	Conductor Properties	Total Expansion Coefficient (1/øF)	Total Modulus of Elasticity (lb/iný)	Core Expansion Coefficient (1/øF)	Core Modulus of Elasticity (lb/iný)	Outer Expansion Coefficient (1/øF)	Outer Modulus of Elasticity (lb/iný)	Number of Conductors	Code Word	Tension Calculation	Core Stress-Strain Polynomial (lb/iný)	Outer Stress-Strain Polynomial (lb/iný)	Core Creep Polynomial (lb/iný)	Outer Creep Polynomial (lb/iný)	Stress-Strain Temperature (øF)	Highest Full Tension (lbf)	Highest Slack Tension (lbf)	Usage Groups
1 HDC - Stranded (7/0)	7/0	0.328	0.0657	0.2584	3800	TOTAL	0.0000094	16800000					1	1 HDC - Stranded (7/0)	Static						760	70	"PRIMARY,NEUTRAL,OPEN_WIRE"
1/0 AAAC	7/0	0.398	0.0968	0.1149	4270	TOTAL	0.0000128	8900000					1	1/0 AAAC - Azusa	Static						854	70	"PRIMARY,NEUTRAL,OPEN_WIRE"
1/0 AAC	7/0	0.368	0.0829	0.0989	1990	TOTAL	0.0000128	9300000					1	1/0 AAC - Poppy	Static						398	50	"PRIMARY,NEUTRAL,OPEN_WIRE"
1/0 ACSR	6/1	0.398	0.0968	0.145	4380	TOTAL	1.05276E-05	11350000					1	1/0 ACSR - Raven	Static						876	60	"PRIMARY,NEUTRAL,OPEN_WIRE"
1/0 HDC	7/0	0.3249	0.08295	0.321	4518	TOTAL	0.0000093	17000000					1	1/0 HDC	Static						1129.5	80	"PRIMARY,NEUTRAL,OPEN_WIRE"
2 ACSR	6/1	0.316	0.0609	0.0912	2850	TOTAL	0.000010534	11580000					1	2 ACSR - Sparrow	Static						382	50	"PRIMARY,NEUTRAL,OPEN_WIRE"
2 ACSR Neutral TPX	7/1	0.73	0.0655	0.228	1860	TOTAL	9.92669E-06	12437710					1	Cockle - Triplex Service Drop ACSR Neutral	Static						464	50	NEUTRAL
2 HDC - Solid	1/0	0.2576	0.0521	0.2009	3003	TOTAL	0.0000094	17000000					1	2 HDC - Solid	Static						600.6	50	"PRIMARY,NEUTRAL,OPEN_WIRE"
2 HDC - Stranded (7/0)	7/0	0.292	0.0522	0.2049	3050	TOTAL	0.0000094	16800000					1	2 HDC - Stranded (7/0)	Static						610	50	"PRIMARY,NEUTRAL,OPEN_WIRE"
2 Quadruplex (Service)	7/1	0.88	0.0655	0.357	2850	TOTAL	9.92669E-06	12437710					1	Palomino - Quadruplex Service Drop ACSR Neutral	Static						105	50	UTILITY_SERVICE
2 Quadruplex (Span)	7/1	0.88	0.0655	0.357	2850	TOTAL	9.92669E-06	12437710					1	Palomino - Quadruplex Service Drop ACSR Neutral	Static						706	50	SECONDARY
2 Triplex (Service)	7/1	0.73	0.0655	0.228	1860	TOTAL	9.92669E-06	12437710					1	Conch - Triplex Service Drop ACSR Neutral	Static						92	50	UTILITY_SERVICE
2 Triplex (Span)	7/1	0.73	0.0655	0.228	1860	TOTAL	9.92669E-06	12437710					1	Cockle - Triplex Service Drop ACSR Neutral	Static						358	50	SECONDARY
2/0 ACSR	6/1	0.447	0.1219	0.1828	5310	TOTAL	1.05276E-05	11350000					1	2/0 ACSR - Quail	Static						723	50	"PRIMARY,NEUTRAL,OPEN_WIRE"
2/0 ACSR Neutral TPX	6/1	1.052	0.07668	0.444	3550	TOTAL	1.0575E-05	11300000					1	2/0 ACSR - Clio	Static						887	80	NEUTRAL
2/0 ACSR Quadruplex (Service)	11/1	1.23	0.1221	0.697	5310	TOTAL	1.05764E-05	11297785					1	2/0 ACSR Quadruplex - Grullo	Static						144	50	UTILITY_SERVICE
2/0 ACSR Quadruplex (Span)	11/1	1.23	0.1221	0.697	5310	TOTAL	1.05764E-05	11297785					1	2/0 ACSR Quadruplex - Grullo	Static						1328	80	SECONDARY
2/0 ACSR Triplex (Service)	6/1	1.09	0.1219	0.512	5310	TOTAL	1.05276E-05	11350000					1	Triton - 2/0 Triplex ACSR Neutral	Static						134	50	UTILITY_SERVICE
2/0 ACSR Triplex (Span)	6/1	1.09	0.1219	0.512	5310	TOTAL	1.05276E-05	11350000					1	Triton - 2/0 Triplex ACSR Neutral	Static						1325	80	SECONDARY
2/0 HDC - Stranded (7/0)	7/0	0.414	0.1045	0.411	5927	TOTAL	0.0000093	17000000					1	"2/0 HDC - Class A,AA - Stranded"	Static						1185.2	70	"PRIMARY,NEUTRAL,OPEN_WIRE"
3 HDC - Solid	1/0	0.229	0.04119	0.159	2439	TOTAL	0.0000094	17000000					1	3 HDC - Solid	Static						487.8	40	"PRIMARY,NEUTRAL,OPEN_WIRE"
336.40 AAC	19/0	0.665	0.2644	0.315	6150	TOTAL	0.0000128	8870000					1	TULIP	Static						1477	80	"PRIMARY,NEUTRAL"
394.5 AAAC	19/0	0.721	0.3098	0.3679	13300	TOTAL	0.0000128	8900000					1	Canton	Static						1653	80	"PRIMARY,NEUTRAL"
397.5 AAC	19/0	0.724	0.3125	0.3729	7110	TOTAL	0.0000128	8900000					1	Canna	Static						1020	80	"PRIMARY,NEUTRAL"
